2021-05-03T15:20:15.306Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 88499}
2021-05-03T15:20:16.107Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 12}
2021-05-03T15:20:16.313Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 8}
2021-05-03T15:20:17.121Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 31475}
2021-05-03T15:20:17.323Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 53844}
2021-05-03T15:20:18.134Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 11210}
2021-05-03T15:20:18.334Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 20}
2021-05-03T15:20:19.135Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 24460}
2021-05-03T15:20:19.337Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 69518}
2021-05-03T15:20:20.220Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 68468}
2021-05-03T15:20:20.422Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 6527}
2021-05-03T15:20:21.228Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 10}
2021-05-03T15:20:21.629Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 10}
2021-05-03T15:20:22.232Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 47996}
2021-05-03T15:20:22.434Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 39116}
2021-05-03T15:20:23.243Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 30034}
2021-05-03T15:20:23.445Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 61318}
2021-05-03T15:20:24.262Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 6}
2021-05-03T15:20:24.464Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 8}
2021-05-03T15:20:25.276Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 70205}
2021-05-03T15:20:25.478Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 73722}
2021-05-03T15:20:26.478Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 18377}
2021-05-03T15:20:26.678Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 58}
2021-05-03T15:20:27.479Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 6}
2021-05-03T15:20:27.681Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 41461}
2021-05-03T15:20:28.489Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 72433}
2021-05-03T15:20:28.691Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 47928}
2021-05-03T15:20:29.498Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 12}
2021-05-03T15:20:29.698Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 8}
2021-05-03T15:20:30.501Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 68580}
2021-05-03T15:20:30.703Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 37083}
2021-05-03T15:20:31.512Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 22532}
2021-05-03T15:20:31.714Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 63260}
