2021-05-03T09:57:26.961Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 5720}
2021-05-03T09:57:27.762Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 8814}
2021-05-03T09:57:27.962Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 10361}
2021-05-03T09:57:28.764Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 12741}
2021-05-03T09:57:28.965Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 7848}
2021-05-03T09:57:29.767Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 18455}
2021-05-03T09:57:29.967Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 20131}
2021-05-03T09:57:30.772Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 26527}
2021-05-03T09:57:30.974Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 25513}
2021-05-03T09:57:31.783Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 5636}
2021-05-03T09:57:31.984Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 20053}
2021-05-03T09:57:32.789Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 20254}
2021-05-03T09:57:32.991Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 20806}
2021-05-03T09:57:33.797Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 31745}
2021-05-03T09:57:33.999Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 31630}
2021-05-03T09:57:34.812Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 33632}
