2021-05-03T14:58:55.186Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 13227}
2021-05-03T14:58:55.988Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 13982}
2021-05-03T14:58:56.188Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 13270}
2021-05-03T14:58:56.989Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 11984}
2021-05-03T14:58:57.189Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 12184}
2021-05-03T14:58:57.991Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 54656}
2021-05-03T14:58:58.192Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 65722}
2021-05-03T14:58:58.996Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 25280}
2021-05-03T14:58:59.201Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 1273}
2021-05-03T14:59:00.013Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 30986}
2021-05-03T14:59:00.214Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 47562}
2021-05-03T14:59:01.017Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 52186}
2021-05-03T14:59:01.217Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 50143}
2021-05-03T14:59:02.020Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 1886}
2021-05-03T14:59:02.220Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 2560}
2021-05-03T14:59:03.221Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 3084}
2021-05-03T14:59:06.423Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 11324}
2021-05-03T14:59:06.624Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 12218}
2021-05-03T14:59:07.430Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 352}
2021-05-03T14:59:07.637Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 9760}
2021-05-03T14:59:08.438Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 15159}
2021-05-03T14:59:08.639Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 14722}
2021-05-03T14:59:09.440Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 13434}
2021-05-03T14:59:09.640Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 11175}
2021-05-03T14:59:10.441Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 69338}
2021-05-03T14:59:10.642Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 60894}
2021-05-03T14:59:11.457Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 42754}
2021-05-03T14:59:11.664Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 1300}
2021-05-03T14:59:12.472Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 40856}
2021-05-03T14:59:12.672Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 50764}
2021-05-03T14:59:13.476Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 52188}
2021-05-03T14:59:13.677Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 51354}
2021-05-03T14:59:15.077Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 15}
2021-05-03T14:59:15.278Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 1540}
2021-05-03T14:59:18.279Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 2}
2021-05-03T14:59:18.679Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 3807}
2021-05-03T14:59:19.295Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 200}
2021-05-03T14:59:19.502Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 174}
2021-05-03T14:59:20.304Z	INFO	loggingexporter/logging_exporter.go:331	TracesExporter	{"#spans": 42068}
